code,line,name,opening_year,subzone,latitude,longitude
cc1,cc,dhoby ghaut,2010,dhoby ghaut,1.29891164362677,103.84629250696
cc2,cc,bras basah,2010,bras basah,1.29686168649656,103.850667371637
cc3,cc,esplanade,2010,city hall,1.2936577245386,103.855081226245
cc4,cc,promenade,2010,marina centre,1.29399798636232,103.860350000188
cc5,cc,nicoll highway,2010,nicoll,1.2997668467513899,103.86363696571999
cc6,cc,stadium,2010,tanjong rhu,1.3028124684706999,103.875337711089
cc7,cc,mountbatten,2010,aljunied,1.30620190525331,103.882528081052
cc8,cc,dakota,2010,aljunied,1.30854798388121,103.889064718377
cc9,cc,paya lebar,2010,geylang east,1.3172473854035,103.89226075388399
cc10,cc,macpherson,2010,macpherson,1.3261502445736102,103.889298600376
cc11,cc,tai seng,2010,tai seng,1.33514150139202,103.88838930019101
cc12,cc,bartley,2009,bidadari,1.3425011780524498,103.88017789918399
cc13,cc,serangoon,2009,serangoon central,1.3506336152652498,103.872771660431
cc14,cc,lorong chuan,2009,serangoon central,1.3515312862158502,103.86481216951401
cc15,cc,bishan,2009,bishan east,1.35131580146658,103.84914026532
cc16,cc,marymount,2009,upper thomson,1.3487072634509998,103.839423132332
cc17,cc,caldecott,2011,toa payoh west,1.33724561271722,103.840161782075
cc19,cc,botanic gardens,2011,tyersall,1.32238699517166, 103.815385463093
cc20,cc,farrer road,2011,farrer court,1.31743915158967,103.80737921416099
cc21,cc,holland village,2011,leedon park,1.31224029631595,103.796399122407
cc22,cc,buona vista,2011,one north,1.3062753482325702,103.790363200126
cc23,cc,one-north,2011,one north,1.2997598749355501,103.78745750524999
cc24,cc,kent ridge,2011,national university of singapore,1.29353349887123,103.78457273817301
cc25,cc,haw par villa,2011,port,1.2819568868489801,103.78198899013701
cc26,cc,pasir panjang,2011,port,1.2762135223376598,103.791350313288
cc27,cc,labrador park,2011,maritime square,1.27236838626952,103.803416232089
cc28,cc,telok blangah,2011,maritime square,1.27070647717762,103.809761611219
cc29,cc,harbourfront,2011,maritime square,1.26538938374901,103.821530157095
ce1,ce,bayfront,2012,bayfront subzone,1.2818737887920901,103.859079764874
ce2,ce,marina bay,2012,central subzone,1.27631114381584,103.854604975361
cg1,cg,expo,2001,xilin,1.33538252614956,103.962374747451
cg2,cg,changi airport,2002,changi airport,1.35747897447692,103.98788356959
dt1,dt,bukit panjang,2015,gombak,1.3795612123661298,103.761188866252
dt2,dt,cashew,2015,jelebu,1.3698154492555201,103.76443921414
dt3,dt,hillview,2015,nature reserve,1.3623448680355803,103.767418254007
dt5,dt,beauty world,2015,anak bukit,1.3409014900142902,103.77574671777799
dt6,dt,king albert park,2015,holland road,1.335893496278,103.78323586323299
dt7,dt,sixth avenue,2015,coronation road,1.33085764536226,103.796906838288
dt8,dt,tan kah kee,2015,coronation road,1.3263922414635099,103.80654820169201
dt9,dt,botanic gardens,2015,tyersall,1.32238699517166, 103.815385463093
dt10,dt,stevens,2015,nassim,1.3200655575062599,103.826024401924
dt11,dt,newton,2015,newton circus,1.3123189224097,103.837984594021
dt12,dt,little india,2015,farrer park,1.3072438160843798,103.84984161412399
dt13,dt,rochor,2015,bencoolen,1.30385218527656,103.85276942888399
dt14,dt,bugis,2013,victoria,1.30046508509717,103.855706730933
dt15,dt,promenade,2013,marina centre,1.29399798636232,103.860350000188
dt16,dt,bayfront,2013,bayfront subzone,1.2818737887920901,103.859079764874
dt17,dt,downtown,2013,central subzone,1.27944638178916,103.852840829581
dt18,dt,telok ayer,2013,chinatown,1.28206894769394,103.84864878108299
dt19,dt,chinatown,2013,china square,1.2842239191908502,103.845143798953
dt20,dt,fort canning,2017,clarke quay,1.2924819482299599,103.844331362465
dt21,dt,bencoolen,2017,bencoolen,1.29891843369422,103.850353762717
dt22,dt,jalan besar,2017,sungei road,1.3051713878068998,103.855295713435
dt23,dt,bendemeer,2017,kallang bahru,1.3136725284769097,103.862977620945
dt24,dt,geylang bahru,2017,geylang bahru,1.32130110228321,103.87162262714199
dt25,dt,mattar,2017,macpherson,1.32687671501334,103.883247509542
dt26,dt,macpherson,2017,macpherson,1.3261502445736102,103.889298600376
dt27,dt,ubi,2017,kampong ubi,1.3299742597397402,103.899226655439
dt28,dt,kaki bukit,2017,kaki bukit,1.33496735995428,103.908459338046
dt29,dt,bedok north,2017,kaki bukit,1.33474211664091,103.91797832995
dt30,dt,bedok reservoir,2017,bedok reservoir,1.33660782955099,103.93223462328599
dt31,dt,tampines west,2017,tampines west,1.34551530560119,103.938436971222
dt32,dt,tampines,2017,tampines west,1.34551530560119,103.938436971222
dt33,dt,tampines east,2017,tampines east,1.3561914827154398,103.9546344625
dt34,dt,upper changi,2017,simei,1.34173977444995,103.961472788634
dt35,dt,expo,2017,xilin,1.33538252614956,103.962374747451
ew1,ew,pasir ris,1989,pasir ris central,1.37304331635804,103.949284527763
ew2,ew,tampines,1989,tampines west,1.34551530560119,103.938436971222
ew3,ew,simei,1989,simei,1.3431970785182898,103.953377214378
ew4,ew,tanah merah,1989,bedok south,1.32718729074675,103.94634860079799
ew5,ew,bedok,1989,bayshore,1.3241142405473245, 103.92960188233448
ew6,ew,kembangan,1989,kembangan,1.3210381335934,103.912947930851
ew7,ew,eunos,1989,geylang east,1.3197835491608798,103.903225807255
ew8,ew,paya lebar,1989,geylang east,1.3172473854035,103.89226075388399
ew9,ew,aljunied,1989,aljunied,1.3164326118157,103.882906044385
ew10,ew,kallang,1989,boon keng,1.31148890998818,103.87138654175399
ew11,ew,lavender,1989,lavender,1.3073778174706299,103.862767633888
ew12,ew,bugis,1989,victoria,1.30046508509717,103.855706730933
ew13,ew,city hall,1987,city hall,1.2929899070092299,103.85254263033899
ew14,ew,raffles place,1987,raffles place,1.2839332623453799,103.851463066212
ew15,ew,tanjong pagar,1987,tanjong pagar,1.27656131737246,103.845725186759
ew16,ew,outram park,1987,chinatown,1.2802415328084,103.84005210013599
ew17,ew,tiong bahru,1988,tiong bahru station,1.2861945789054399,103.826998939732
ew18,ew,redhill,1988,redhill,1.28963453412887,103.81674097205
ew19,ew,queenstown,1988,mei chin,1.29455085184931,103.806077155982
ew20,ew,commonwealth,1988,commonwealth,1.30250199924325,103.798228523336
ew21,ew,buona vista,1988,one north,1.3062753482325702,103.790363200126
ew22,ew,dover,2001,singapore polytechnic,1.31140529320963,103.778637841909
ew23,ew,clementi,1988,clementi central,1.31511625277378,103.76519145288799
ew24,ew,jurong east,1988,jurong gateway,1.33315281585758,103.742286332403
ew25,ew,chinese garden,1988,lakeside leisure,1.3423528208140099,103.732596738363
ew26,ew,lakeside,1988,taman jurong,1.34425911493819,103.72094908745599
ew27,ew,boon lay,1990,jurong west central,1.33860405469845,103.706064622772
ew28,ew,pioneer,2009,jurong west central,1.33758701106708,103.69732160847401
ew29,ew,joo koon,2009,joo koon,1.3277170408446999,103.678374996165
ew30,ew,gul circle,2017,gul circle,1.3194709007520802,103.660530461345
ew31,ew,tuas crescent,2017,tuas north,1.3210269559868402,103.649078235627
ew32,ew,tuas west road,2017,tuas bay,1.32998504653102,103.639616648771
ew33,ew,tuas link,2017,tuas promenade,1.34088242451105,103.636991425128
ne1,ne,harbourfront,2003,maritime square,1.26538938374901,103.821530157095
ne3,ne,outram park,2003,chinatown,1.2802415328084,103.84005210013599
ne4,ne,chinatown,2003,china square,1.2842239191908502,103.845143798953
ne5,ne,clarke quay,2003,boat quay,1.28745211415803,103.84611919272699
ne6,ne,dhoby ghaut,2003,dhoby ghaut,1.29891164362677,103.84629250696
ne7,ne,little india,2003,farrer park,1.3072438160843798,103.84984161412399
ne8,ne,farrer park,2003,lavender,1.31314029963164,103.854754721344
ne9,ne,boon keng,2003,bendemeer,1.3199395765329098,103.862052698446
ne10,ne,potong pasir,2003,sennett,1.33137808528793,103.86936354774099
ne11,ne,woodleigh,2011,bidadari,1.3391900451938799,103.87081830915001
ne12,ne,serangoon,2003,serangoon central,1.3506336152652498,103.872771660431
ne13,ne,kovan,2003,kovan,1.3601791706523703,103.885064856353
ne14,ne,hougang,2003,hougang central,1.37129226620797,103.892380513029
ne15,ne,buangkok,2006,compassvale,1.38287001971672,103.893122569706
ne16,ne,sengkang,2003,sengkang town centre,1.39169462601522,103.895484694279
ne17,ne,punggol,2003,northshore,1.41492733388605,103.91016638817699
ns1,ns,jurong east,1990,jurong gateway,1.33315281585758,103.742286332403
ns2,ns,bukit batok,1990,bukit batok central,1.3490333120163602,103.749566478309
ns3,ns,bukit gombak,1990,guilin,1.35861159094192,103.75179091073299
ns4,ns,choa chu kang,1990,choa chu kang central,1.38536316540225,103.744370779756
ns5,ns,yew tee,1996,yew tee,1.39753506936297,103.74740515023599
ns7,ns,kranji,1996,turf club,1.42508698073648,103.762137459497
ns8,ns,marsiling,1996,woodlands west,1.43252114855026,103.774074641403
ns9,ns,woodlands,1996,woodlands regional centre,1.43605761708128,103.78793877717301
ns10,ns,admiralty,1996,woodlands east,1.44058856161847,103.800990519771
ns11,ns,sembawang,1996,sembawang central,1.4490508215850202,103.82004614021099
ns12,ns,canberra,2019,sembawang springs,1.44307664075699,103.829702590959
ns13,ns,yishun,1988,yishun west,1.4294430847733102,103.835005047246
ns14,ns,khatib,1988,khatib,1.41738337009565,103.832979908243
ns15,ns,yio chu kang,1987,yio chu kang,1.38175587099132,103.84494727118
ns16,ns,ang mo kio,1987,cheng san,1.36993284962264,103.849558091776
ns17,ns,bishan,1987,bishan east,1.35131580146658,103.84914026532
ns18,ns,braddell,1987,toa payoh west,1.3404690010277,103.846799083148
ns19,ns,toa payoh,1987,toa payoh central,1.33262928096888,103.847502198048
ns20,ns,novena,1987,moulmein,1.3204407912015401,103.843825618748
ns21,ns,newton,1987,newton circus,1.3123189224097,103.837984594021
ns22,ns,orchard,1987,one tree hill,1.30242224836722,103.82386852324899
ns23,ns,somerset,1987,somerset,1.3002641673900601,103.83908575312401
ns24,ns,dhoby ghaut,1987,dhoby ghaut,1.29891164362677,103.84629250696
ns25,ns,city hall,1987,city hall,1.2929899070092299,103.85254263033899
ns26,ns,raffles place,1987,raffles place,1.2839332623453799,103.851463066212
ns27,ns,marina bay,1989,central subzone,1.27631114381584,103.854604975361
ns28,ns,marina south pier,2014,straits view,1.2710270361200602,103.86244751573601
te1,te,woodlands north,2020,greenwood park,1.44829245259621,103.78569268244101
te2,te,woodlands,2020,woodlands regional centre,1.43605761708128,103.78793877717301
te3,te,woodlands south,2020,woodlands south,1.4273960528144198,103.79326432221
te4,te,springleaf,2021,nee soon,1.39758106126824,103.817856949947
te5,te,lentor,2021,tagore,1.38550657972169,103.835743809669
te6,te,mayflower,2021,kebun bahru,1.37146318831015,103.836567766945
te7,te,bright hill,2021,upper thomson,1.36328318545185,103.832893619992
te8,te,upper thomson,2021,upper thomson,1.35441643365401,103.83289846850401
te9,te,caldecott,2021,toa payoh west,1.33724561271722,103.840161782075
